City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Arraial Do Cabo,BR,2021-01-05 01:50:03,-22.97,-42.03,75.2,88,0,2.24
228,Fortuna,US,2021-01-05 01:46:11,40.6,-124.16,48.0,100,75,3.62
229,Gladstone,AU,2021-01-05 01:53:39,-23.85,151.25,86.0,58,95,10.29
230,Cabedelo,BR,2021-01-05 01:48:30,-6.98,-34.83,77.0,88,20,8.05
231,Yeppoon,AU,2021-01-05 01:52:35,-23.13,150.73,89.6,52,75,9.17
232,Constitucion,CL,2021-01-05 01:51:00,-35.33,-72.42,56.89,71,4,12.86
233,Port Keats,AU,2021-01-05 01:56:22,-14.25,129.55,89.13,70,100,7.36
234,Hambantota,LK,2021-01-05 01:56:22,6.12,81.12,73.4,100,40,5.64
235,Tuatapere,NZ,2021-01-05 01:47:40,-46.13,167.68,59.0,91,100,1.01
236,Khatanga,RU,2021-01-05 01:47:35,71.97,102.5,-9.56,89,78,15.7
237,Outjo,NA,2021-01-05 01:56:23,-20.12,16.15,64.4,88,100,2.24
238,Ileza,RU,2021-01-05 01:56:23,61.05,43.9,8.82,96,43,3.33
239,Hammerfest,NO,2021-01-05 01:51:54,70.66,23.68,39.2,80,75,13.87
240,Sao Filipe,CV,2021-01-05 01:50:48,14.9,-24.5,75.11,75,100,4.45
241,Dali,CN,2021-01-05 01:51:05,25.7,100.18,51.75,55,100,3.47
242,Reo,BF,2021-01-05 01:56:24,12.32,-2.47,73.51,22,0,7.0
243,San Javier,ES,2021-01-05 01:56:24,37.81,-0.84,46.0,75,0,3.36
244,Kaili,ID,2021-01-05 01:56:25,-3.46,120.21,74.08,84,100,1.39
245,Khambhat,IN,2021-01-05 01:56:25,22.3,72.62,64.4,68,40,3.36
246,Terney,RU,2021-01-05 01:56:26,45.05,136.61,4.73,78,0,8.99
247,Farah,AF,2021-01-05 01:56:27,32.5,62.5,27.63,81,0,2.13
248,Lixourion,GR,2021-01-05 01:56:27,38.2,20.43,54.14,66,22,10.58
249,Puerto Escondido,MX,2021-01-05 01:56:27,15.85,-97.07,77.0,78,40,4.92
250,West Bay,KY,2021-01-05 01:56:28,19.37,-81.42,78.8,65,75,6.93
251,Newport,GB,2021-01-05 01:56:28,51.59,-3.0,39.0,88,89,4.0
252,Mayumba,GA,2021-01-05 01:56:28,-3.43,10.66,77.0,88,100,4.88
253,Luba,GQ,2021-01-05 01:56:29,3.46,8.55,78.8,79,20,5.82
254,Nanortalik,GL,2021-01-05 01:50:29,60.14,-45.24,27.66,97,99,8.41
255,Pundaguitan,PH,2021-01-05 01:56:29,6.37,126.17,81.3,81,100,16.58
256,Bonthe,SL,2021-01-05 01:56:30,7.53,-12.51,79.11,85,18,6.33
257,Gashua,NG,2021-01-05 01:56:30,12.87,11.05,72.59,20,18,9.15
258,Ilulissat,GL,2021-01-05 01:50:09,69.22,-51.1,13.78,96,100,4.59
259,Saint Charles,US,2021-01-05 01:56:22,38.77,-90.73,36.0,95,48,7.0
260,Zhigansk,RU,2021-01-05 01:47:48,66.77,123.37,-39.89,80,71,8.05
261,Bardiyah,LY,2021-01-05 01:56:31,31.76,25.09,59.85,87,35,14.14
262,Archidona,ES,2021-01-05 01:56:31,37.1,-4.39,46.99,59,97,11.01
263,Huntington Beach,US,2021-01-05 01:51:38,33.66,-118.0,57.99,89,0,3.42
264,Kloulklubed,PW,2021-01-05 01:47:51,7.04,134.26,84.2,79,75,11.41
265,Torbay,CA,2021-01-05 01:47:35,47.67,-52.73,33.01,100,90,13.87
266,Tan An,VN,2021-01-05 01:56:32,10.53,106.42,80.6,74,20,4.7
267,Guerrero Negro,MX,2021-01-05 01:51:24,27.98,-114.06,59.85,77,35,11.56
268,Nilanga,IN,2021-01-05 01:56:33,18.1,76.77,66.15,65,81,1.32
269,San Vicente,AR,2021-01-05 01:56:33,-26.62,-54.13,67.44,97,100,2.15
270,Mvangue,CM,2021-01-05 01:56:34,2.97,11.52,68.13,97,11,4.5
271,Badarwas,IN,2021-01-05 01:56:34,24.97,77.57,64.2,48,32,8.16
272,Rincon,US,2021-01-05 01:56:34,32.3,-81.24,48.2,76,1,4.0
273,Palmerston,AU,2021-01-05 01:56:34,-12.49,130.98,89.01,89,40,6.93
274,Pompeu,BR,2021-01-05 01:56:34,-19.22,-44.94,67.26,88,50,1.74
275,Santa Vitoria Do Palmar,BR,2021-01-05 01:56:35,-33.52,-53.37,70.81,84,70,11.88
276,Berdigestyakh,RU,2021-01-05 01:56:35,62.1,126.7,-39.32,80,100,3.98
277,Jiexiu,CN,2021-01-05 01:52:29,37.02,111.91,21.56,65,0,9.98
278,Carnarvon,AU,2021-01-05 01:47:40,-24.87,113.63,82.4,65,0,11.41
279,Campbeltown,GB,2021-01-05 01:56:35,55.43,-5.61,37.4,69,9,8.05
280,Guanaja,HN,2021-01-05 01:56:36,16.4,-85.9,77.0,78,20,4.7
281,Kaeo,NZ,2021-01-05 01:56:36,-35.1,173.78,74.19,55,24,8.95
282,Port Moresby,PG,2021-01-05 01:56:16,-9.44,147.18,89.6,59,20,11.41
283,Tecalitlan,MX,2021-01-05 01:56:37,19.47,-103.3,75.2,73,5,11.41
284,Cockburn Town,TC,2021-01-05 01:55:00,21.46,-71.14,76.78,67,0,11.9
285,Qandala,SO,2021-01-05 01:56:37,11.47,49.87,72.59,64,1,7.02
286,Mareeba,AU,2021-01-05 01:52:07,-17.0,145.43,89.01,79,77,5.01
287,Ponta Do Sol,PT,2021-01-05 01:51:17,32.67,-17.1,62.6,82,40,16.11
288,Baillif,GP,2021-01-05 01:56:38,16.02,-61.75,68.0,94,20,2.24
289,Chuy,UY,2021-01-05 01:50:50,-33.7,-53.46,70.25,87,44,11.92
290,Lumphat,KH,2021-01-05 01:56:39,13.49,106.98,82.78,53,53,10.67
291,Lata,PT,2021-01-05 01:56:39,40.16,-8.33,41.0,90,0,2.73
292,Gat,IL,2021-01-05 01:56:39,31.61,34.76,57.99,55,95,1.19
293,Burgersdorp,ZA,2021-01-05 01:56:39,-31.0,26.33,62.46,85,100,5.66
294,Avera,US,2021-01-05 01:56:39,33.19,-82.53,42.8,81,1,6.78
295,Tiarei,PF,2021-01-05 01:56:40,-17.53,-149.33,78.8,78,75,13.87
296,Sfantu Gheorghe,RO,2021-01-05 01:56:40,45.87,25.78,43.0,82,100,1.99
297,Carauari,BR,2021-01-05 01:56:40,-4.88,-66.9,73.24,88,97,1.72
298,Granard,IE,2021-01-05 01:56:40,53.77,-7.5,29.86,99,27,7.92
299,Awbari,LY,2021-01-05 01:56:41,26.59,12.78,50.88,64,57,7.16
300,Grindavik,IS,2021-01-05 01:51:30,63.84,-22.43,35.6,71,75,9.17
301,Kabale,UG,2021-01-05 01:56:41,-1.25,29.99,56.26,84,0,2.42
302,Flagstaff,US,2021-01-05 01:54:28,35.2,-111.65,37.0,38,88,2.17
303,Port Augusta,AU,2021-01-05 01:55:47,-32.5,137.77,77.0,56,90,16.11
304,Mar Del Plata,AR,2021-01-05 01:50:30,-38.0,-57.56,66.99,100,90,16.11
305,Saint-Joseph,RE,2021-01-05 01:52:38,-21.37,55.62,75.2,78,75,6.93
306,Xai-Xai,MZ,2021-01-05 01:56:42,-25.05,33.64,72.54,88,67,5.06
307,Banda Aceh,ID,2021-01-05 01:51:50,5.56,95.32,78.69,85,100,11.54
308,High Rock,BS,2021-01-05 01:56:43,26.62,-78.28,68.0,68,11,6.93
309,Xinmin,CN,2021-01-05 01:56:43,41.99,122.83,3.2,54,0,4.47
310,Haicheng,CN,2021-01-05 01:56:44,40.85,122.75,5.43,67,0,5.37
311,Goderich,CA,2021-01-05 01:53:05,43.75,-81.72,33.8,74,99,10.29
312,Yenagoa,NG,2021-01-05 01:50:39,4.92,6.26,76.44,92,0,2.98
313,La Romana,DO,2021-01-05 01:56:44,18.43,-68.97,68.0,94,20,9.75
314,Luanda,AO,2021-01-05 01:56:45,-8.84,13.23,78.8,83,40,5.82
315,Carlyle,US,2021-01-05 01:56:45,38.61,-89.37,35.01,96,100,7.83
316,Jinxiang,CN,2021-01-05 01:56:45,27.43,120.61,53.49,85,99,15.86
317,Axim,GH,2021-01-05 01:56:45,4.87,-2.24,78.69,86,1,7.74
318,Sawtell,AU,2021-01-05 01:56:46,-30.38,153.1,84.0,74,3,9.17
319,Savannah Bight,HN,2021-01-05 01:56:46,16.45,-85.85,77.0,81,0,15.64
320,Darab,IR,2021-01-05 01:56:46,28.75,54.54,42.8,50,0,5.28
321,Suluq,LY,2021-01-05 01:56:46,31.67,20.25,52.74,63,100,4.34
322,Thompson,CA,2021-01-05 01:50:04,55.74,-97.86,1.4,84,90,3.36
323,Shingu,JP,2021-01-05 01:56:47,33.73,135.98,46.4,52,75,12.75
324,Grand Gaube,MU,2021-01-05 01:56:17,-20.01,57.66,73.99,87,16,4.0
325,Portland,US,2021-01-05 01:49:35,45.52,-122.68,48.0,85,100,1.99
326,Manavalakurichi,IN,2021-01-05 01:55:48,8.13,77.3,78.8,94,40,7.31
327,Lavrentiya,RU,2021-01-05 01:47:50,65.58,-171.0,-8.45,89,7,10.96
328,Igrim,RU,2021-01-05 01:56:48,63.19,64.42,-10.44,90,87,5.59
329,Camacha,PT,2021-01-05 01:52:06,33.08,-16.33,64.4,82,40,10.29
330,Matagami,CA,2021-01-05 01:51:21,49.75,-77.63,28.4,92,90,13.87
331,Ocean City,US,2021-01-05 01:56:49,39.28,-74.57,39.99,86,90,4.7
332,Pital,CO,2021-01-05 01:56:49,2.27,-75.8,67.8,81,98,2.51
333,Broome,US,2021-01-05 01:50:16,42.25,-75.83,33.01,92,90,6.93
334,Adelaide,AU,2021-01-05 01:54:04,-34.93,138.6,72.0,42,40,17.22
335,Dudinka,RU,2021-01-05 01:56:50,69.41,86.18,-13.0,75,90,15.66
336,Saldanha,ZA,2021-01-05 01:51:16,-33.01,17.94,62.6,88,39,6.93
337,Nova Olimpia,BR,2021-01-05 01:52:22,-14.8,-57.29,74.61,81,73,4.27
338,Samarai,PG,2021-01-05 01:52:39,-10.62,150.67,86.32,69,98,13.82
339,Vieques,PR,2021-01-05 01:56:51,18.43,-65.83,73.4,88,90,3.36
340,Fort Nelson,CA,2021-01-05 01:56:52,58.81,-122.7,-5.8,76,90,3.36
341,Dingle,PH,2021-01-05 01:51:19,11.0,122.67,81.75,78,99,16.98
342,Piura,PE,2021-01-05 01:56:52,-5.2,-80.63,73.17,69,100,8.72
343,Katsuura,JP,2021-01-05 01:51:03,35.13,140.3,48.99,52,75,3.36
344,Inhambane,MZ,2021-01-05 01:51:22,-23.86,35.38,76.48,82,45,2.24
345,San Quintin,MX,2021-01-05 01:50:36,30.48,-115.95,57.67,86,81,15.41
346,Kurovskoye,RU,2021-01-05 01:56:53,55.58,38.91,28.4,100,90,4.47
347,Ucluelet,CA,2021-01-05 01:52:14,48.93,-125.55,43.0,100,20,9.95
348,Blairmore,CA,2021-01-05 01:56:54,49.6,-114.44,36.0,80,100,14.99
349,Port Hedland,AU,2021-01-05 01:50:33,-20.32,118.57,91.4,38,40,23.04
350,Hohhot,CN,2021-01-05 01:51:58,40.81,111.65,-7.6,63,0,4.47
351,Tikhvin,RU,2021-01-05 01:56:55,59.65,33.53,21.09,98,78,3.58
352,Quelimane,MZ,2021-01-05 01:53:16,-17.88,36.89,74.55,88,32,2.98
353,Sikonge,TZ,2021-01-05 01:56:56,-5.63,32.77,63.34,91,89,0.74
354,Caala,AO,2021-01-05 01:56:56,-12.85,15.56,55.85,91,100,2.64
355,Ekibastuz,KZ,2021-01-05 01:56:57,51.67,75.37,-20.7,86,100,10.2
356,Sao Felix Do Xingu,BR,2021-01-05 01:56:57,-6.64,-51.99,73.63,90,100,0.27
357,Sisimiut,GL,2021-01-05 01:56:57,66.94,-53.67,13.75,95,100,6.96
358,Lusambo,CD,2021-01-05 01:56:57,-4.97,23.45,69.6,96,100,1.3
359,Sao Paulo De Olivenca,BR,2021-01-05 01:56:58,-3.38,-68.87,74.91,90,59,2.28
360,Praia Da Vitoria,PT,2021-01-05 01:47:52,38.73,-27.07,60.8,87,75,23.35
361,Jasper,US,2021-01-05 01:53:14,37.2,-94.35,41.0,75,1,6.93
362,Tombouctou,ML,2021-01-05 01:56:58,20.0,-3.0,68.09,21,100,7.87
363,Lebu,CL,2021-01-05 01:50:33,-37.62,-73.65,56.12,77,0,21.52
364,Launceston,AU,2021-01-05 01:54:35,-41.45,147.17,73.0,59,75,16.11
365,Bengkulu,ID,2021-01-05 01:47:36,-3.8,102.27,83.93,67,80,4.34
366,Erenhot,CN,2021-01-05 01:53:15,43.65,111.98,-3.77,80,86,14.88
367,Newport Beach,US,2021-01-05 01:52:16,33.62,-117.93,57.99,65,27,3.33
368,Nha Trang,VN,2021-01-05 01:57:00,12.25,109.18,77.0,88,40,14.99
369,Manokwari,ID,2021-01-05 01:57:01,-0.87,134.08,84.18,68,100,2.01
370,Naze,JP,2021-01-05 01:52:21,28.37,129.48,66.2,93,75,23.04
371,Ayagoz,KZ,2021-01-05 01:57:01,47.97,80.44,-11.54,81,86,17.43
372,Baykit,RU,2021-01-05 01:51:32,61.67,96.37,-15.65,84,100,3.11
373,Thinadhoo,MV,2021-01-05 01:57:02,0.53,72.93,82.94,72,100,7.43
374,Vilhena,BR,2021-01-05 01:57:02,-12.74,-60.15,69.62,97,100,3.09
375,Kaitong,CN,2021-01-05 01:57:02,44.81,123.15,-2.18,72,0,6.29
376,Agirish,RU,2021-01-05 01:57:03,61.92,63.02,-10.59,91,100,5.77
377,Kibungo,RW,2021-01-05 01:57:03,-2.16,30.54,62.6,88,40,4.7
378,Ngunguru,NZ,2021-01-05 01:50:10,-35.62,174.5,69.46,66,0,8.37
